,GAME_ID,TEAM_ID,TEAM_CITY,TEAM_NAME,PERSON_ID,PLAYER_FIRST,PLAYER_LAST,IN_TIME_REAL,OUT_TIME_REAL,PLAYER_PTS,PT_DIFF,USG_PCT
0,0041400121,1610612749,Milwaukee,Bucks,2585,Zaza,Pachulia,0.0,5630.0,4,-1.0,0.19
1,0041400121,1610612749,Milwaukee,Bucks,2585,Zaza,Pachulia,10240.0,12660.0,2,1.0,0.214
2,0041400121,1610612749,Milwaukee,Bucks,2585,Zaza,Pachulia,14400.0,16050.0,0,4.0,0.25
3,0041400121,1610612749,Milwaukee,Bucks,2585,Zaza,Pachulia,23380.0,26970.0,0,-4.0,0.182
4,0041400121,1610612749,Milwaukee,Bucks,101141,Ersan,Ilyasova,0.0,7200.0,7,-1.0,0.179
5,0041400121,1610612749,Milwaukee,Bucks,101141,Ersan,Ilyasova,10840.0,19790.0,4,-10.0,0.256
6,0041400121,1610612749,Milwaukee,Bucks,101141,Ersan,Ilyasova,25750.0,28800.0,4,-2.0,0.3
7,0041400121,1610612749,Milwaukee,Bucks,201162,Jared,Dudley,7200.0,10840.0,2,-2.0,0.133
8,0041400121,1610612749,Milwaukee,Bucks,201162,Jared,Dudley,19790.0,23530.0,0,1.0,0.133
9,0041400121,1610612749,Milwaukee,Bucks,201564,O.J.,Mayo,5630.0,10840.0,3,-2.0,0.091
10,0041400121,1610612749,Milwaukee,Bucks,201564,O.J.,Mayo,14041.0,14400.0,0,2.0,0.0
11,0041400121,1610612749,Milwaukee,Bucks,201564,O.J.,Mayo,17100.0,25750.0,3,-3.0,0.188
12,0041400121,1610612749,Milwaukee,Bucks,201573,Jerryd,Bayless,3910.0,9070.0,5,-6.0,0.211
13,0041400121,1610612749,Milwaukee,Bucks,201573,Jerryd,Bayless,14360.0,14400.0,0,0.0,0.0
14,0041400121,1610612749,Milwaukee,Bucks,201573,Jerryd,Bayless,18470.0,26970.0,6,-6.0,0.156
15,0041400121,1610612749,Milwaukee,Bucks,203089,John,Henson,5630.0,10240.0,2,-4.0,0.111
16,0041400121,1610612749,Milwaukee,Bucks,203089,John,Henson,12660.0,14400.0,2,-5.0,0.125
17,0041400121,1610612749,Milwaukee,Bucks,203089,John,Henson,16050.0,23380.0,8,-7.0,0.214
18,0041400121,1610612749,Milwaukee,Bucks,203089,John,Henson,26970.0,28800.0,0,4.0,0.143
19,0041400121,1610612749,Milwaukee,Bucks,203114,Khris,Middleton,0.0,6330.0,5,0.0,0.167
