,GAME_ID,TEAM_ID,TEAM_CITY,TEAM_NAME,PERSON_ID,PLAYER_FIRST,PLAYER_LAST,IN_TIME_REAL,OUT_TIME_REAL,PLAYER_PTS,PT_DIFF,USG_PCT
6,0041400161,1610612746,L.A. Clippers,Clippers,2440,Matt,Barnes,14400.0,23440.0,3,7.0,0.083
7,0041400161,1610612746,L.A. Clippers,Clippers,2440,Matt,Barnes,25880.0,28800.0,0,0.0,0.111
8,0041400161,1610612746,L.A. Clippers,Clippers,2563,Dahntay,Jones,14196.0,14400.0,0,0.0,0.0
9,0041400161,1610612746,L.A. Clippers,Clippers,101108,Chris,Paul,0.0,6410.0,5,8.0,0.2
10,0041400161,1610612746,L.A. Clippers,Clippers,101108,Chris,Paul,8310.0,11920.0,2,0.0,0.286
11,0041400161,1610612746,L.A. Clippers,Clippers,101108,Chris,Paul,14400.0,21202.0,12,12.0,0.259
12,0041400161,1610612746,L.A. Clippers,Clippers,101108,Chris,Paul,21263.0,21270.0,0,0.0,0.0
13,0041400161,1610612746,L.A. Clippers,Clippers,101108,Chris,Paul,21311.0,21600.0,0,-3.0,0.5
14,0041400161,1610612746,L.A. Clippers,Clippers,101108,Chris,Paul,23240.0,28800.0,13,3.0,0.4
15,0041400161,1610612746,L.A. Clippers,Clippers,200755,JJ,Redick,0.0,5110.0,5,5.0,0.263
16,0041400161,1610612746,L.A. Clippers,Clippers,200755,JJ,Redick,7077.0,7200.0,0,2.0,0.0
17,0041400161,1610612746,L.A. Clippers,Clippers,200755,JJ,Redick,8310.0,19060.0,2,6.0,0.143
18,0041400161,1610612746,L.A. Clippers,Clippers,200755,JJ,Redick,23440.0,28800.0,3,2.0,0.211
19,0041400161,1610612746,L.A. Clippers,Clippers,201150,Spencer,Hawes,6708.0,8230.0,0,-5.0,0.0
20,0041400161,1610612746,L.A. Clippers,Clippers,201175,Glen,Davis,4790.0,7077.0,1,5.0,0.125
21,0041400161,1610612746,L.A. Clippers,Clippers,201175,Glen,Davis,7200.0,8230.0,0,-7.0,0.667
22,0041400161,1610612746,L.A. Clippers,Clippers,201175,Glen,Davis,14196.0,14400.0,0,0.0,0.0
23,0041400161,1610612746,L.A. Clippers,Clippers,201175,Glen,Davis,19470.0,21263.0,0,6.0,0.0
24,0041400161,1610612746,L.A. Clippers,Clippers,201175,Glen,Davis,21270.0,21311.0,0,0.0,0.0
25,0041400161,1610612746,L.A. Clippers,Clippers,201175,Glen,Davis,21600.0,23240.0,2,-3.0,0.143
26,0041400161,1610612746,L.A. Clippers,Clippers,201599,DeAndre,Jordan,0.0,4790.0,0,5.0,0.0
27,0041400161,1610612746,L.A. Clippers,Clippers,201599,DeAndre,Jordan,8230.0,14196.0,5,1.0,0.318
28,0041400161,1610612746,L.A. Clippers,Clippers,201599,DeAndre,Jordan,14400.0,19470.0,2,6.0,0.15
29,0041400161,1610612746,L.A. Clippers,Clippers,201599,DeAndre,Jordan,21600.0,28800.0,2,0.0,0.115
30,0041400161,1610612746,L.A. Clippers,Clippers,201933,Blake,Griffin,0.0,6708.0,9,10.0,0.44
31,0041400161,1610612746,L.A. Clippers,Clippers,201933,Blake,Griffin,8230.0,21600.0,14,10.0,0.231
32,0041400161,1610612746,L.A. Clippers,Clippers,201933,Blake,Griffin,23240.0,28800.0,3,3.0,0.1
33,0041400161,1610612746,L.A. Clippers,Clippers,203085,Austin,Rivers,5110.0,8310.0,0,-3.0,0.0
34,0041400161,1610612746,L.A. Clippers,Clippers,203085,Austin,Rivers,11920.0,14400.0,2,4.0,0.222
35,0041400161,1610612746,L.A. Clippers,Clippers,203085,Austin,Rivers,21202.0,23240.0,0,-6.0,0.222
